regime,iteration,frames_analyzed,training_examples,candidate_count,mean_photons_detected,median_photons_detected,mean_photons_missed,median_photons_missed,mean_photons_sqrt_background_detected,mean_photons_sqrt_background_missed,mean_photons_sqrt_offset_detected,mean_photons_sqrt_offset_missed,simulation_seconds,truth_matching_metrics_seconds,detector_true_positives,detector_false_positives,detector_false_negatives,detector_detection_efficiency,detector_false_identification_fraction,accepted_true_positives,accepted_false_positives,accepted_false_negatives,accepted_detection_efficiency,accepted_false_identification_fraction,total_detector_identifications,identifications_passing_fit_tolerances,known_molecules,identification_precision,fit_success_fraction,preprocessing_detection_nms_seconds,localization_seconds,quality_oracle_seconds,replay_training_seconds,total_iteration_seconds
smoke,1,10,27,27,227.64302498953683,229.8564453125,222.1213124593099,209.23757934570312,114.81967572326138,112.52022782062208,114.81967572326138,112.52022782062208,0.008646901995234657,0.0005069589969934896,7,20,3,0.7,0.7407407407407407,0,0,10,0.0,0.0,27,0,10,0.25925925925925924,0.0,0.0029146719971322455,0.025291070000093896,0.0003316220027045347,0.6093833599952632,0.6386520259984536
smoke,2,10,56,29,225.98651123046875,212.49710083007812,0.0,0.0,114.12984135246958,0.0,114.12984135246958,0.0,0.008646901995234657,0.0020045490018674172,10,19,0,1.0,0.6551724137931034,0,0,10,0.0,0.0,29,0,10,0.3448275862068966,0.0,0.0004965509942849167,0.023051032003422733,0.00032478300272487104,0.0014078229942242615,0.02747568999620853
